comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title
3314,331400,1,Nonferrous metal (except aluminum) production and processing,28200,53,5.1745,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.04538722944569655,0.5645161290322581,331400,1,Nonferrous metal (except aluminum) production and processing,28200,53,5.2376,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.08763588595371717,0.478494623655914,Nonferrous metal (except aluminum) production and processing
3315,331500,1,Foundries,33500,55,4.9564,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.10372963580786106,0.5053763440860215,331500,1,Foundries,33500,55,5.1343,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.1600472814656842,0.44086021505376344,Foundries
3327,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.3084,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5467728668225585,0.3172043010752688,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.9323,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3016455572974107,0.41397849462365593,"Machine shops; turned product; and screw, nut, and bolt manufacturing"
3328,332800,1,"Coating, engraving, heat treating, and allied activities",50100,54,4.4435,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4544038228255126,0.34946236559139787,332800,1,"Coating, engraving, heat treating, and allied activities",50100,54,4.8583,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3535181929981421,0.3870967741935484,"Coating, engraving, heat treating, and allied activities"
3333,333300,1,Commercial and service industry machinery manufacturing,45900,69,6.3139,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.8244049106465391,0.7903225806451613,333300,1,Commercial and service industry machinery manufacturing,45900,69,6.4357,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7522101253036668,0.7688172043010753,Commercial and service industry machinery manufacturing
3335,333500,1,Metalworking machinery manufacturing,74900,55,5.063,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.030846289471184462,0.532258064516129,333500,1,Metalworking machinery manufacturing,74900,55,5.534,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12013504947461832,0.5913978494623656,Metalworking machinery manufacturing
3336,333600,1,"Engine, turbine, and power transmission equipment manufacturing",48300,60,5.5996,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3360317934956156,0.6774193548387096,333600,1,"Engine, turbine, and power transmission equipment manufacturing",48300,60,5.8406,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.33505599685089266,0.6774193548387096,"Engine, turbine, and power transmission equipment manufacturing"
3341,334100,1,Computer and peripheral equipment manufacturing,74400,68,7.4505,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.6015082075158362,0.9193548387096774,334100,1,Computer and peripheral equipment manufacturing,74400,68,7.4798,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.4841049757784475,0.9032258064516129,Computer and peripheral equipment manufacturing
3342,334200,1,Communications equipment manufacturing,50000,67,7.1904,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.423675577289104,0.8817204301075269,334200,1,Communications equipment manufacturing,50000,67,7.27,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.337039043751238,0.8602150537634409,Communications equipment manufacturing
3343,334300,1,Audio and video equipment manufacturing,8800,33,7.1955,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.427162491607275,0.8870967741935484,334300,1,Audio and video equipment manufacturing,8800,33,7.3409,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.3867386366050476,0.8817204301075269,Audio and video equipment manufacturing
