variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_level_left,raw_code_examples,raw_title_examples,source_row_count,metric_value,metric_name,comparison_level_right,source_file,sheet_name,metric_zscore,metric_percentile,comparison_title
repo_gabriel,37-20,Janitors and building cleaners,2.2,2550100.0,2,-1.0858481027756268,0.14772727272727273,37-20,soc4,37-2011.00 | 37-2012.00 | 37-2021.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners | Maids and Housekeeping Cleaners | Pest Control Workers",3,0.4814530363333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.37875385062664735,0.6666666666666666,Janitors and building cleaners
repo_gabriel,37-30,Grounds maintenance workers,1.6,1296400.0,1,-1.3535020607173451,0.022727272727272728,37-30,soc4,37-3011.00 | 37-3012.00 | 37-3013.00,"Landscaping and Groundskeeping Workers | Pesticide Handlers, Sprayers, and Applicators, Vegetation | Tree Trimmers and Pruners",3,0.3782022833333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.15593262045582212,0.4537037037037037,Grounds maintenance workers
repo_gabriel,39-20,Animal care and service workers,2.1,439400.0,1,-1.1304570957659132,0.10227272727272728,39-20,soc4,39-2011.00 | 39-2021.00,Animal Trainers | Nonfarm Animal Caretakers,2,0.273988756,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.6956048412377512,0.26851851851851855,Animal care and service workers
repo_gabriel,39-50,"Barbers, hairstylists, and cosmetologists",1.6203191822259309,958700.0,3,-1.3444378781424962,0.03409090909090909,39-50,soc4,39-5011.00 | 39-5012.00 | 39-5091.00 | 39-5092.00 | 39-5093.00,"Barbers | Hairdressers, Hairstylists, and Cosmetologists | Makeup Artists, Theatrical and Performance | Manicurists and Pedicurists | Shampooers",6,0.2382966848333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.8804370775482155,0.21296296296296297,"Barbers, hairstylists, and cosmetologists"
repo_gabriel,39-60,Concierges,5.8,45600.0,1,0.5200756448746827,0.6193181818181818,39-60,soc4,39-6011.00 | 39-6012.00,Baggage Porters and Bellhops | Concierges,2,0.1389198335,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.3950624570522967,0.07407407407407407,Concierges
repo_gabriel,39-70,Tour and travel guides,3.8,55800.0,1,-0.37210421493104484,0.48295454545454547,39-70,soc4,39-7011.00 | 39-7012.00,Tour Guides and Escorts | Travel Guides,2,0.17121922,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.2277993186826062,0.09259259259259259,Tour and travel guides
repo_gabriel,39-90,Childcare workers,2.047827631111637,1689400.0,3,-1.1537306641461893,0.09090909090909091,39-90,soc4,39-9011.00 | 39-9011.01 | 39-9021.00 | 39-9031.00 | 39-9032.00,Childcare Workers | Nannies | Personal Care Aides | Fitness Trainers and Aerobics Instructors | Recreation Workers,6,0.18394666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1618899690479951,0.12037037037037036,Childcare workers
repo_gabriel,41-20,Retail sales workers,5.6000977464023896,7366000.0,2,0.43090126257990025,0.6022727272727273,41-20,soc4,41-2011.00 | 41-2012.00 | 41-2021.00 | 41-2022.00 | 41-2031.00,Cashiers | Gaming Change Persons and Booth Cashiers | Counter and Rental Clerks | Parts Salespersons | Retail Salespersons,5,0.1881223678,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1402659672564195,0.1388888888888889,Retail sales workers
repo_gabriel,41-30,Insurance sales agents,7.0202123413427,1252700.0,4,1.064400082690857,0.8068181818181818,41-30,soc4,41-3011.00 | 41-3021.00 | 41-3031.01 | 41-3031.02 | 41-3031.03,"Advertising Sales Agents | Insurance Sales Agents | Sales Agents, Securities and Commodities | Sales Agents, Financial Services | Securities and Commodities Traders",7,0.3342739942857143,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.38341630623157696,0.37037037037037035,Insurance sales agents
repo_gabriel,41-40,Wholesale and manufacturing sales representatives,5.8,1613600.0,1,0.5200756448746827,0.6193181818181818,41-40,soc4,41-4011.00 | 41-4011.07 | 41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products | Solar Sales Representatives and Assessors | Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3,0.211914963,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.0170554492141761,0.16666666666666666,Wholesale and manufacturing sales representatives
repo_gabriel,41-90,Real estate brokers and sales agents,6.38019137149572,595700.0,3,0.778893173115455,0.6931818181818182,41-90,soc4,41-9011.00 | 41-9012.00 | 41-9021.00 | 41-9022.00 | 41-9031.00,Demonstrators and Product Promoters | Models | Real Estate Brokers | Real Estate Sales Agents | Sales Engineers,7,0.1804108055714285,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1802004749934019,0.1111111111111111,Real estate brokers and sales agents
repo_gabriel,43-30,"Bookkeeping, accounting, and auditing clerks",8.374649923208962,3320700.0,4,1.668601048643382,0.9659090909090909,43-30,soc4,43-3011.00 | 43-3021.01 | 43-3021.02 | 43-3031.00 | 43-3041.00,"Bill and Account Collectors | Statement Clerks | Billing, Cost, and Rate Clerks | Bookkeeping, Accounting, and Auditing Clerks | Gaming Cage Workers",8,0.215227990125,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9998988597405214,0.17592592592592593,"Bookkeeping, accounting, and auditing clerks"
repo_gabriel,43-40,Customer service representatives,8.213569122536502,4150600.0,2,1.596744525562707,0.9545454545454546,43-40,soc4,43-4011.00 | 43-4021.00 | 43-4031.01 | 43-4031.02 | 43-4031.03,Brokerage Clerks | Correspondence Clerks | Court Clerks | Municipal Clerks | License Clerks,12,0.1725439243333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.2209393059017055,0.10185185185185185,Customer service representatives
