gvkey,firmgenaiexp_estz_total,firmgenaiexp_estz_core,firmgenaiexp_estz_supplemental
33512,.4232227839529514,.4047837493320306,.0184390259285768
33513,.1813152480704581,.16295750354707,.0183577411072819
33523,.4818105782781328,.4017499962023326,.0800605813440468
33524,.1813152480704582,.16295750354707,.0183577411072819
33525,.1813152480704581,.16295750354707,.0183577411072819
33526,.4059461501778656,.3456316708111788,.0603144689200299
33532,.5579688780837588,.4896356032954322,.068333273443083
33570,.40653336223434,.3534347695462844,.0530985926880556
33573,.3630697879519678,.3011782032472678,.0618915811584142
33583,.4044846714939926,.3441676253502792,.0603170395695738
33589,.3257809554600172,.2642080048524638,.0615729452660402
33590,.3257809554600172,.2642080048524638,.0615729452660402
33591,.3257809554600172,.2642080048524639,.0615729452660402
33600,.417406549397856,.3412818183423951,.0761247212532908
33610,.4035463294523808,.3449146925878093,.0586316330647305
33612,.3990870800444713,.3362317907056374,.0628552761200113
33613,.4180560717359185,.3841139114229009,.0339421431999654
33620,.3822901841873924,.3350118109956384,.0472783594159409
33635,.3668558677173642,.3167012945736108,.0501545594418294
33637,.3059997643182594,.2587152864426354,.0472844745477156
33638,.4865202550586333,.415084363044754,.0714358857986912
33647,.4327041323695253,.3735087448445638,.0591953845208914
33650,.2939582661199732,.2307336029602962,.0632246586487812
33651,.1967753622680903,.1867753617465496,.0100000001490116
33663,.3822901841873924,.3350118109956383,.0472783594159409
33666,.075396828353405,.0238095242530107,.0515873022377491
33668,.3198415521938021,.2696225746817542,.0502189722729742
33684,.38729403604838,.3193639767440883,.0679300504143943
33685,.3864578321779202,.3340817188788004,.052376104942072
33686,.3864578321779201,.3340817188788004,.052376104942072
33688,.3864578321779203,.3340817188788007,.052376104942072
33692,.4011205272830051,.3553365595314814,.0457839572235294
33700,.3208444537709377,.2614246768158905,.0594197721298596
33703,.4131046250772971,.3610168097230293,.0520878019587447
33705,.3106706526596099,.2559651436749846,.0547055040951818
33708,.1785714328289032,.1428571492433548,.0357142873108387
33713,.3641060143709184,.2979826492894638,.0661233567485684
33714,.4207713305950165,.3552350103855133,.0655363127589226
33718,.2522290575074646,.1787102990826503,.0735187574145834
33721,.402917466936825,.3499104277530249,.053007028520294
33740,.3675154627456019,.3240071598750849,.0435082881090542
33748,.3328927795995365,.2594458054412495,.0734469799155539
33759,.4290241146354641,.3863164831432826,.0427076247094239
33766,.4751917423949901,.4231498402429356,.0520418978929934
33767,.4469359930584719,.3951157422411695,.0518202429151677
33787,.3636947392175595,.3180168687055508,.0456778475393852
33788,.3515752012079413,.2633271801539442,.0882480124180967
33790,.3515752012079412,.2633271801539442,.0882480124180967
33809,.2475364571501165,.1989019099870875,.0486345429120869
33818,.4095529149447683,.3519411369031943,.0576117658453394
33826,.4232227839529514,.4047837493320306,.0184390259285768
33846,.4530422513683636,.4328791871666908,.0201630548884471
33850,.424527904894334,.383870883556214,.0406570117272974
33859,.4156891912221909,.3452790886163712,.0704100996255875
33861,.5014592055231333,.4514029224713642,.0500562775155736
33881,.1813152480704581,.1629575035470699,.0183577411072819
33883,.3990870800444711,.3362317907056373,.0628552761200113
33913,.4819707162386442,.4520274565236608,.0299432453439223
33932,.1967753622680903,.1867753617465496,.0100000001490116
33933,.4232227839529514,.4047837493320306,.0184390259285768
33934,.4232227839529514,.4047837493320306,.0184390259285768
33945,.3981772812412065,.3073013001943336,.0908759813207914
33946,.4207713305950165,.3552350103855133,.0655363127589226
33949,.4207713305950165,.3552350103855133,.0655363127589226
33950,.4207713305950165,.3552350103855133,.0655363127589226
33951,.464525128192327,.4013929464883409,.063132176142608
33955,.3752448871351405,.3197951607288143,.0554497174838793
33962,.2032776641975698,.1701264910832338,.0331511689527276
33973,.6150556277134456,.5019537171465345,.1131019053864293
33975,.3864578321779202,.3340817188788006,.052376104942072
33976,.3864578321779202,.3340817188788003,.052376104942072
33979,.3227859074249865,.2583225371867971,.0644633656591867
33983,.397582337964312,.34509938436562,.0524829424907835
33984,.3975823379643122,.3450993843656201,.0524829424907835
34029,.3516149703609539,.2856682558103379,.0659467076685389
34042,0,0,0
34048,.396766614113226,.3391954317221428,.0575711773281761
34051,.4246146836376283,.3672855580290263,.0573291180383725
34053,.4304468599018646,.3642239334016598,.0662229203115232
34057,.3524995105492453,.2957257353425319,.0567737686656024
34067,.5463381171226501,.5095341563224792,.0368039578199387
34074,.4675093640883762,.4163246618376836,.0511846941792302
34083,.3981772812412065,.3073013001943336,.0908759813207914
34090,.3990870800444711,.3362317907056374,.0628552761200113
34091,.3990870800444715,.3362317907056374,.0628552761200113
34092,.3393450453877449,.3273114934563637,.0120335388928652
34101,.3277907326517069,.2824687426599923,.0453219829534993
34102,.3688111040857635,.3093810719651923,.0594300266988538
34126,.3975823379643118,.34509938436562,.0524829424907835
34127,.3975823379643117,.3450993843656199,.0524829424907835
34128,.3975823379643118,.3450993843656199,.0524829424907835
34129,.397582337964312,.3450993843656202,.0524829424907835
34130,.3975823379643119,.3450993843656201,.0524829424907835
34140,.3660874512423291,.3072374393598419,.0588500110453434
34147,.5450794526508876,.4603149326784269,.0847645115905575
34148,.5450794526508876,.460314932678427,.0847645115905575
34149,.5450794526508876,.460314932678427,.0847645115905575
34150,.5450794526508876,.460314932678427,.0847645115905575
34151,.5450794526508879,.460314932678427,.0847645115905575
34152,.5450794526508876,.4603149326784269,.0847645115905575
34153,.3915426731109619,.2604700326919556,.1310726255178452
34161,.4166675170805926,.3534117128365323,.063255797064509
34173,.4062854224569723,.3538983375618739,.0523870803595822
34174,.4062854224569725,.3538983375618743,.0523870803595822
34186,.466632404142902,.4157120100266876,.0509203843595016
34210,.4015168234377176,.3523273210937328,.0491894908460719
34236,.4360136809779119,.3987343358971063,.0372793318897211
34241,.3655366883678751,.321518914748966,.0440177635591424
34245,.3904679391492822,.3461420826412321,.0443258444613322
34248,.3975823379643116,.3450993843656199,.0524829424907835
34249,.3975823379643116,.34509938436562,.0524829424907835
34250,.3975823379643117,.34509938436562,.0524829424907835
34251,.3975823379643119,.3450993843656199,.0524829424907835
34270,.1351307481527328,.1239300053566694,.0112007409334183
34271,.3961904695425353,.3275783126066265,.068612151942146
34272,.3961904695425351,.3275783126066265,.068612151942146
34273,.3961904695425352,.3275783126066264,.068612151942146
34294,.373280860144745,.3250172165352511,.0482636309151337
34296,.3437291273911452,.2638831620650559,.079845969468869
34300,.4798528637694543,.4057733723504235,.0740794870485428
34301,.4015168234377176,.3523273210937328,.0491894908460718
34306,.3053786580761274,.2868930858870348,.018485559305797
34308,.5795691385865211,.4274795651435852,.152089562267065
34310,.5795691385865211,.4274795651435852,.152089562267065
34311,.5795691385865211,.4274795651435852,.152089562267065
34337,.3711619191141829,.3099126598097137,.0612492548732307
34355,.4322037756866124,.3665283389267542,.0656754247800385
34370,.3106706526596099,.2559651436749846,.0547055040951818
34396,.4077021481469274,.3468060767898958,.0608960653965672
34398,.373280860144745,.325017216535251,.0482636309151337
34401,.3409563141564528,.2999168870349725,.0410394271214803
34402,.3975823379643118,.3450993843656198,.0524829424907835
34412,.2708510554217349,.225341990148592,.0455090598884657
34414,.457334816602892,.4242858059312168,.0330490015667716
34415,.3614027133091355,.2925129197194501,.0688897885179132
34418,.3627940703450976,.3020845267606102,.0607095381269029
34426,.3955757761726725,.3015046093335588,.0940711633922932
34427,.3955757761726724,.3015046093335587,.0940711633922932
34439,.2349598843087323,.1625034071382392,.0724564743874789
34483,.4232227839529514,.4047837493320306,.0184390259285768
34496,.3349762406725428,.2889089884704883,.046067248337521
34509,.3975823379643122,.3450993843656203,.0524829424907835
34510,.3975823379643119,.3450993843656198,.0524829424907835
34535,.4232227839529514,.4047837493320306,.0184390259285768
34537,.4232227839529514,.4047837493320306,.0184390259285768
34538,.4232227839529514,.4047837493320306,.0184390259285768
34540,.4232227839529514,.4047837493320306,.0184390259285768
34541,.4232227839529514,.4047837493320306,.0184390259285768
34542,.4232227839529514,.4047837493320306,.0184390259285768
34550,.466546947811101,.4007383166401235,.0658086169678886
34553,.3864578321779206,.3340817188788007,.052376104942072
34562,.3363107245112306,.2778618094873219,.0584489106500995
34603,.2255001690238715,.1892019122838974,.0362982551567257
34613,.3086822330053461,.2662175313999811,.0424646938049476
34616,.4120397585536082,.3546058475099853,.05743390536975
34636,.3442322630633236,.2823675673372469,.0618646888888458
34640,.4170113166610739,.3647669200136355,.0522443859319372
34746,.4385259300764453,.3841354232085378,.0543904941210425
34765,.3358763279574608,.2724463341485038,.0634299896687011
34854,.2842730525667773,.2529479967295157,.0313250499294061
34863,.4190417430076152,.3460761485736312,.072965590628209
34873,.1468107601931625,.1218553961780918,.024955361282894
34882,.3101265261607001,.2681599201677739,.0419665996743746
34883,.3475554133356923,.3005719589821078,.0469834460836035
34938,.3771313208051855,.2943223251788705,.0828089919976062
34956,.5573217131197454,.3901036716997625,.1672180522233248
60800,.2810937700378476,.217041260961078,.0640525040926896
60900,.3778590803856279,.2745029333707341,.1033561468196648
60902,.2523179512021169,.2054603120308865,.046857634804721
60911,.4360873002845509,.3858961069526581,.0501911780008903
60914,.3193536144827062,.2475285518095767,.0718250607207253
60931,.4593845992632219,.3779179263000025,.0814666639319684
60938,.4361358478082625,.3298021071283511,.1063337377246532
60953,.3660003535804294,.2426235373353675,.1233768139389299
60972,.2563607740179178,.1945690136315232,.0617917568033716
60979,.3911869552599572,.3403328951635855,.0508540512550768
60983,.4038150180131197,.2963969849515706,.1074180216528475
61004,.3348114700878367,.2914538005841713,.0433576622448277
61055,.4083140316681984,.3183070781807869,.0900069501919624
61122,.4264677035467303,.3627877968097187,.0636798952200091
61129,.401835575270473,.3353439197935006,.0664916502556215
61153,.3188890658961389,.2673963919809051,.0514926691659691
61155,.2964594323895177,.2564382568186279,.0400211668413615
61163,.3577138574712061,.2881330092243115,.0695808406837367
61179,.4670484916346945,.4180596923507415,.0489887891343428
61181,.3330093883948547,.2819582843616916,.0510510973107416
61188,.3165704432045469,.2919079597368893,.024662477084955
61192,.3169265439302481,.2541247876845905,.0628017511643483
61214,.4096468451806388,.3531533278105941,.0564935105080777
61302,.4285211511999487,.3757891712197683,.0527319777594282
61325,.3238075099513276,.2662595046405869,.0575480041390977
61350,.4447452316766814,.4002404103994316,.044504820841188
61356,.362257685220667,.310531819884266,.0517258621230721
61380,.4145189649575715,.3497101706187467,.06480879275218
61388,.4432151216650185,.3884978600447339,.054717258397414
61394,.4235806792146629,.3061420044137372,.1174386740765638
61399,.3383675415590283,.2766417435052882,.0617257930517773
61400,.3585740225389603,.287195594632067,.0713784218765796
61406,.4349890607543761,.3635564875395998,.0714325700009058
61408,.4178248248973142,.3629321436330573,.0548926780891962
61409,.2067296294480699,.1650299212695992,.0416997051747181
61418,.3589189279366518,.2731058749285108,.0858130498804611
61420,.3830077624449811,.2887274549514676,.0942803022129089
61449,.3535647802876088,.3087798570224899,.0447849101472818
61452,.3901027143001556,.2471522018313408,.1429505174358686
61483,.303083096371438,.2608043530267192,.0422787420482934
61487,.3745807497244589,.2866535435068768,.0879272033513529
61490,.3351758382668155,.2846266821586603,.0505491534518904
61494,.3139519241084261,.2477571713367799,.0661947483959626
61519,.3313141273796595,.2759196920297189,.0553944306943823
61544,.4236212207509554,.3395453513505222,.0840758665827877
61562,.3738239272863774,.3167125814501652,.0571113419803294
61567,.3197577555720247,.2691930395430733,.0505647091378586
61574,.4069326342440959,.3489118622431382,.0580207672945967
61581,.3043158157389617,.2514011917065875,.0529146168221285
61585,.4174086454973567,.3365589570541445,.0808496809243519
61587,.4262999964637005,.3756111589866619,.0506888296133867
61635,.3135973162876041,.2514566349328247,.0621406769233884
61662,.3276272121940459,.2756701486706027,.0519570609020572
61676,.4032393729337775,.3469437216284946,.0562956502985259
61685,.4539586990131734,.4049097241056214,.0490489721714183
61693,.4104529032271846,.3338970569415822,.0765558410332617
61711,.4063347332645701,.3558773332782098,.0504573869972252
61732,.4531433889254611,.3484237821973842,.1047195988490495
61735,.4479606725910603,.3740022389614606,.0739584278248173
61739,.4200695315652546,.3561306493581192,.0639388785419042
61743,.4026770729333542,.3313894711922817,.0712876023998419
61759,.3628542050038943,.2771390835520386,.0857151178876732
61766,.3725287180213415,.3072616940175516,.0652670183091831
61811,.4992140531539917,.3807737946510314,.118440242856741
61814,.4350140539912931,.3612854218094104,.0737286261323709
61839,.3248559151828002,.242335154755498,.082520758599499
61870,.4377807821393048,.3842805066666999,.0535002723916232
61880,.4274586482959634,.3070366334389238,.1204220137613661
61899,.3994517845567316,.3537671577651054,.0456846163870068
61902,.4219456954159386,.3729816352648325,.048964056950015
61955,.3351292039227227,.2988567630881849,.0362724318452503
61994,.3425088103135444,.2624647976127029,.0800440130000318
62123,.3985301386991529,.3192929103117408,.0792372241123335
62139,.4200585424882231,.3408349644098628,.0792235731722065
62168,.3010195298622029,.2589096401924969,.0421098819148642
62217,.3848385326705423,.3244017127858984,.0604368158418573
62222,.0501242246478796,.0286956530064344,.0214285716414452
62243,.3846411925633003,.302890637447177,.0817505523089668
62262,.4116396312663953,.3399612766380111,.0716783523885533
62263,.4067454502277708,.3573974133688939,.049348024388701
62266,.5030930456040953,.4472680846602343,.0558249546512234
62290,.3313677118958154,.2639325384754633,.0674351682905366
62337,.3282040388005067,.3103633073594752,.0178407243676955
62365,.4015571643030981,.313542726107246,.0880144386524152
62374,.47307897446152,.4188448763124771,.0542340863612745
62378,.3648593501549492,.3128845663975521,.0519747778461673
62396,.3988507906469731,.3206746605940845,.0781761259890185
62475,.3406753562804725,.3025544733843868,.0381208766872684
62494,.4687240430096867,.4004034268878193,.0683206157242624
62501,.3814851220352173,.2803079382241083,.1011771835052838
62516,.3072175762649686,.2617488896042901,.0454686817601596
62549,.4070198002491313,.3345341075286642,.0724856860463007
62553,.4129204420710302,.3187461239385411,.094174316780012
62575,.4626662194728851,.3242744824290276,.1383917387574911
62582,.199708491563797,.1477628394373154,.0519456484011914
62618,.4086966255743956,.3387613810984226,.0699352353554348
62626,.4169156094712597,.3502430339764444,.0666725773123964
62640,.426605907579263,.3489675638385308,.0776383403020027
62646,.2221790989860892,.1924171848222613,.0297619057819247
62654,.3897031285496509,.3079800627497876,.0817230620117937
