comparison_key,raw_naics_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
4245,4245,Farm Product Raw Material Merchant Wholesalers,1,-0.7109669,Farm product raw material merchant wholesalers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7106928644285694,0.3048780487804878
4251,4251,Wholesale Electronic Markets and Agents and Brokers,1,0.9876717,Wholesale Electronic Markets and Agents and Brokers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.9812980489231691,0.8089430894308943
4411,4411,Automobile Dealers,1,-0.1668894,Automobile dealers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.1687446323801923,0.4796747967479675
4412,4412,Other Motor Vehicle Dealers,1,-0.1300993,Other motor vehicle dealers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.13209851183324267,0.5
4413,4413,"Automotive Parts, Accessories, and Tire Stores",1,-0.6871853,"Automotive parts, accessories, and tire retailers",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6870043346230148,0.3089430894308943
4421,4421,Furniture Stores,1,-0.0112289,Furniture Stores,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.013693315656441711,0.5487804878048781
4422,4422,Home Furnishings Stores,1,0.049807,Home Furnishings Stores,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.04710371803173974,0.5691056910569106
4431,4431,Electronics and Appliance Stores,1,0.3619018,Electronics and Appliance Stores,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.35797712318356434,0.6747967479674797
4441,4441,Building Material and Supplies Dealers,1,0.1045359,Building material and supplies dealers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.10161843440386031,0.5813008130081301
4442,4442,Lawn and Garden Equipment and Supplies Stores,1,-0.4641636,Lawn and garden equipment and supplies retailers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.4648554385127666,0.3902439024390244
