comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
31-10,31-1011.00 | 31-1013.00 | 31-1014.00 | 31-1015.00,Home Health Aides | Psychiatric Aides | Nursing Assistants | Orderlies,4,0.25150514075,Home Health Aides | Psychiatric Aides | Nursing Assistants | Orderlies,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.8120367755907965,0.25
31-20,31-2011.00 | 31-2012.00 | 31-2021.00 | 31-2022.00,Occupational Therapy Assistants | Occupational Therapy Aides | Physical Therapist Assistants | Physical Therapist Aides,4,0.2910931025,Physical therapist assistants and aides,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.6070295775759281,0.28703703703703703
31-90,31-9011.00 | 31-9091.00 | 31-9092.00 | 31-9093.00 | 31-9094.00,Massage Therapists | Dental Assistants | Medical Assistants | Medical Equipment Preparers | Medical Transcriptionists,10,0.2259018057,Medical assistants,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.944624252854295,0.19444444444444445
33-10,33-1011.00 | 33-1012.00 | 33-1021.01 | 33-1021.02,First-Line Supervisors of Correctional Officers | First-Line Supervisors of Police and Detectives | Municipal Fire Fighting and Prevention Supervisors | Forest Fire Fighting and Prevention Supervisors,4,0.4166168125,First-Line Supervisors of Correctional Officers | First-Line Supervisors of Police and Detectives | Municipal Fire Fighting and Prevention Supervisors | Forest Fire Fighting and Prevention Supervisors,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.04299792912011768,0.5555555555555556
33-20,33-2011.01 | 33-2011.02 | 33-2021.01 | 33-2021.02 | 33-2022.00,Municipal Firefighters | Forest Firefighters | Fire Inspectors | Fire Investigators | Forest Fire Inspectors and Prevention Specialists,5,0.4117360734,Firefighters,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.01772290603478275,0.5370370370370371
33-30,33-3011.00 | 33-3012.00 | 33-3021.01 | 33-3021.02 | 33-3021.03,Bailiffs | Correctional Officers and Jailers | Police Detectives | Police Identification and Records Officers | Criminal Investigators and Special Agents,12,0.4220133369166667,Police and detectives,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.07094395869007061,0.5648148148148148
33-90,33-9011.00 | 33-9021.00 | 33-9031.00 | 33-9032.00 | 33-9091.00,Animal Control Workers | Private Detectives and Investigators | Gaming Surveillance Officers and Gaming Investigators | Security Guards | Crossing Guards,8,0.37730307875,Security guards and gambling surveillance officers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.1605891726985321,0.4444444444444444
35-10,35-1011.00 | 35-1012.00,Chefs and Head Cooks | First-Line Supervisors of Food Preparation and Serving Workers,2,0.39607833,Chefs and head cooks,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.06336108919439339,0.49074074074074076
35-20,35-2011.00 | 35-2012.00 | 35-2013.00 | 35-2014.00 | 35-2015.00,"Cooks, Fast Food | Cooks, Institution and Cafeteria | Cooks, Private Household | Cooks, Restaurant | Cooks, Short Order",6,0.1220167791666666,Cooks,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.4825953244591359,0.05555555555555555
35-30,35-3011.00 | 35-3021.00 | 35-3022.00 | 35-3022.01 | 35-3031.00,"Bartenders | Combined Food Preparation and Serving Workers, Including Fast Food | Counter Attendants, Cafeteria, Food Concession, and Coffee Shop | Baristas | Waiters and Waitresses",6,0.1209645223333333,Food and beverage serving and related workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.4880444614052595,0.046296296296296294
35-90,35-9011.00 | 35-9021.00 | 35-9031.00,"Dining Room and Cafeteria Attendants and Bartender Helpers | Dishwashers | Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3,0.0829527883333333,"Dining Room and Cafeteria Attendants and Bartender Helpers | Dishwashers | Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.6848891266658172,0.037037037037037035
37-10,37-1011.00 | 37-1012.00,"First-Line Supervisors of Housekeeping and Janitorial Workers | First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2,0.40972598,"First-Line Supervisors of Housekeeping and Janitorial Workers | First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.007313589730889305,0.5277777777777778
37-20,37-2011.00 | 37-2012.00 | 37-2021.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners | Maids and Housekeeping Cleaners | Pest Control Workers",3,0.4814530363333333,Janitors and building cleaners,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.37875385062664735,0.6666666666666666
