comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
civil-engineering-technicians,17-3022,Civil Engineering Technologists and Technicians,1,0.1994199273749053,Civil engineering technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.2760817354530912,0.6539589442815249
civil-engineers,17-2051,Civil Engineers,1,0.2053823863919811,Civil engineers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.34066288029770014,0.6774193548387096
claims-adjusters-appraisers-examiners-and-investigators,13-1031 | 13-1032,"Claims Adjusters, Examiners, and Investigators | Insurance Appraisers, Auto Damage",2,0.2394029403722828,"Claims adjusters, appraisers, examiners, and investigators",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.7091494926171311,0.7653958944281525
clinical-laboratory-technologists-and-technicians,29-2010,Clinical Laboratory Technologists and Technicians,1,0.1135029317384686,Clinical laboratory technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.6545104789201659,0.2903225806451613
coaches-and-scouts,27-2022,Coaches and Scouts,1,0.1694471600495868,Coaches and scouts,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.04856211073295494,0.5278592375366569
community-health-workers,21-1094,Community Health Workers,1,0.2967326836058023,Community health workers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.3301047798677201,0.873900293255132
compensation-and-benefits-managers,11-3111,Compensation and Benefits Managers,1,0.1413063122763342,Compensation and benefits managers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.35336389819845965,0.39882697947214074
compensation-benefits-and-job-analysis-specialists,13-1141,"Compensation, Benefits, and Job Analysis Specialists",1,0.1671532331445428,"Compensation, benefits, and job analysis specialists",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.0734083067895354,0.5102639296187683
compliance-officers,13-1041,Compliance Officers,1,0.1991136866828754,Compliance officers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.27276475257192495,0.6510263929618768
computer-and-information-research-scientists,15-1221,Computer and Information Research Scientists,1,0.1692589723694258,Computer and information research scientists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.050600426769281885,0.5249266862170088
computer-and-information-systems-managers,11-3021,Computer and Information Systems Managers,1,0.1518935143886481,Computer and information systems managers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.23869080255849637,0.436950146627566
computer-hardware-engineers,17-2061,Computer Hardware Engineers,1,0.3147974661693407,Computer hardware engineers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.5257697456110662,0.9149560117302052
computer-network-architects,15-1241,Computer Network Architects,1,0.2519702133697844,Computer network architects,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.8452693175801275,0.8064516129032258
computer-programmers,15-1251,Computer Programmers,1,0.3100317881564861,Computer programmers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.474151287329088,0.9002932551319648
computer-support-specialists,15-1231 | 15-1232,Computer Network Support Specialists | Computer User Support Specialists,2,0.3180130617987335,Computer support specialists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.560598806323899,0.9208211143695014
computer-systems-analysts,15-1211,Computer Systems Analysts,1,0.3126242495751441,Computer systems analysts,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.5022309983850353,0.9090909090909091
concierges,39-6012,Concierges,1,0.3719693167084712,Concierges,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,2.1450148507141495,0.9794721407624634
