comparison_key,raw_naics_examples,source_row_count,comparison_title,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level,source_file,karpathy_zscore,karpathy_percentile
4442,444200,1,Lawn and garden equipment and supplies retailers,55400,42,5.1421,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.023235067894961707,0.5483870967741935
4453,445300,1,"Beer, wine, and liquor retailers",89900,24,6.5607,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.9931442152984327,0.8118279569892473
4491,449100,1,Furniture and home furnishings retailers,119700,60,6.5034,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.9539677073707443,0.8064516129032258
4492,449200,1,Electronics and appliance retailers,50000,45,7.3754,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.5501616849090405,0.9032258064516129
4561,456100,1,Health and personal care retailers,690800,80,5.6692,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.38361791830830555,0.6827956989247311
4571,457100,1,Gasoline stations,731900,28,6.1585,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.7181565802457922,0.7634408602150538
4572,457200,1,Fuel dealers,48700,32,4.8238,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.194389408080313,0.46774193548387094
4581,458100,1,Clothing and clothing accessories retailers,124200,48,6.9752,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.2765414672360749,0.8602150537634409
4582,458200,1,Shoe retailers,11800,19,7.0356,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.3178374721022592,0.8655913978494624
4583,458300,1,"Jewelry, luggage, and leather goods retailers",30000,31,6.0807,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.6649640441764351,0.7580645161290323
4592,459200,1,Book retailers and news dealers,12500,20,5.252,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.09837465290810224,0.5913978494623656
4593,459300,1,Florists,35000,22,3.1414,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.3446609078629157,0.08602150537634409
4599,459900,1,Other miscellaneous retailers,175700,88,5.6703,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.38436999786712683,0.6935483870967742
4811,481100,1,Scheduled air transportation,261400,52,2.878,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.524749776766112,0.053763440860215055
4812,481200,1,Nonscheduled air transportation,36000,35,3.9392,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7991981151105617,0.22580645161290322
4831,483100,1,"Deep sea, coastal, and great lakes water transportation",29700,46,5.4391,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.2262965487766977,0.6451612903225806
4832,483200,1,Inland water transportation,22600,22,2.8345,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.5544911047740433,0.04838709677419355
4851,485100,1,Urban transit systems,12800,29,4.3484,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5194245192290587,0.3279569892473118
4852,485200,1,Interurban and rural bus transportation,3200,12,4.3344,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5289964408867838,0.3225806451612903
4853,485300,1,Taxi and limousine service,41500,31,5.5643,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3118968767443524,0.6559139784946236
4854,485400,1,School and employee bus transportation,158600,23,2.9455,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.478599440202081,0.05913978494623656
4855,485500,1,Charter bus industry,8200,17,4.1402,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6617726684532251,0.26881720430107525
4859,485900,1,Other transit and ground passenger transportation,81100,31,4.2592,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5804113343625633,0.2956989247311828
4861,486100,1,Pipeline transportation of crude oil,5700,31,5.5772,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3207167188432562,0.6666666666666666
4862,486200,1,Pipeline transportation of natural gas,14000,42,4.7043,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.27609259651589396,0.43548387096774194
4869,486900,1,Other pipeline transportation,2700,15,4.4074,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.47908570652864635,0.34408602150537637
4871,487100,1,"Scenic and sightseeing transportation, land",5400,20,4.5796,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.36135107013862955,0.4032258064516129
4872,487200,1,"Scenic and sightseeing transportation, water",11800,20,3.3814,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.1805708223019167,0.12903225806451613
4879,487900,1,"Scenic and sightseeing transportation, other",1200,6,4.2167,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6094689536806566,0.2903225806451613
4881,488100,1,Support activities for air transportation,86800,79,4.8908,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.14858092586120128,0.489247311827957
4882,488200,1,Support activities for rail transportation,18600,38,3.9914,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7635085215010444,0.25268817204301075
4883,488300,1,Support activities for water transportation,45800,39,3.4797,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.113362258090891,0.16666666666666666
4884,488400,1,Support activities for road transportation,75600,37,4.3849,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.49446915204999,0.3333333333333333
4885,488500,1,Freight transportation arrangement,102600,54,7.2713,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.4789876102969572,0.8924731182795699
